OBJECTID,NAME,FULLNAME,TYPE,TRACT,COUNTYFIPS,STATEFIPS,STATEABBR,DSITE,DSITENAME,CONTNMPRE,CONTFSTNM,CONTMIDNM,CONTLSTNM,CONTNMSUF,CONTTITLE,CONTORG,CONTDEPT,CONTADDR1,CONTADDR2,CONTCITY,CONTSTATE,CONTZIP,CONTPHONE,CONTFAX,CONTEMAIL,FIPS,TRACTYEAR,PERIODA,PERIODB,PERIODC,URBANRURAL,LINK,PERIODD,Shape__Area,Shape__Length
761,"San Diego, CA","San Diego, CA Renewal Community",Renewal Community,004000,073,06,CA,No,,Mr.,Ples, ,Felix, , ,Renewal Community Manager, ,"600 B Street, 4th Floor",MS 904,San Diego,CA,92102,619-533-5442,619-533-5250,PFelix@sandiego.gov,06073004000,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CA&community=San_Diego_RC&info1=Urban+Renewal+Community&ID=12902500001,None,1183004.39453125,4782.67500039488
762,"New Haven, CT","New Haven, CT Empowerment Zone",Empowerment Zone,140300,009,09,CT,No,,Ms.,Althea, ,Marshall, , ,Acting President/CEO, ,"59 Elm St., 4th Floor",Suite 410,New Haven,CT,06510,203-776-2777,203-776-0537,altheamarshall@snet.net,09009140300,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=CT&community=New_Haven&info1=Round+I+EC&info1=Round+II+EZ&ID=09072600001,Empowerment Zone (Round II),1253350.21875,5966.12823712513
763,"Washington, DC","Washington, DC Enterprise Zone",Enterprise Zone,009001,001,11,DC,No,,Ms.,Judy,,Brown,,,Director,Dept. of Housing and Community Development,801 N. Capitol St.,Room 618,Washington,DC,20002,202-442-7200,202-442-7089,judy.brown@dc.gov,11001009001,1990,None,DC Enterprise Zone beginning 1-1-1998,DC Enterprise Zone ending 12-31-09,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=DC&community=Washingtondc&info1=Round+I+EC&ID=11000100001,DC Enterprise Zone,2411197.30078125,6964.52641202803
764,"Miami/Dade County, FL","Miami/Dade County, FL Empowerment Zone",Empowerment Zone,002800,025,12,FL,No,,Mr.,Bryan,K.,Finnie, , ,President/CEO, ,140 W. Flagler Street,Suite 1000,Miami,FL,33130,305-375-3848,305-372-7629,kfinnie@miamidade.gov,12025002800,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=FL&community=Miami_Dade_County&info1=Round+I+EC&info1=Round+II+EZ&ID=129025000,Empowerment Zone (Round II),1262341.91601563,4953.84767200115
765,"Detroit, MI","Detroit, MI Empowerment Zone",Empowerment Zone,502000,163,26,MI,No,,Mr.,Larry, ,Givens, , ,Executive Director, ,One Ford Place,Suite 1F,Detroit,MI,48202,313-872-8050 ext.17,313-872-8002,lgivens@detez.com,26163502000,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit&info1=Round+I+EZ&ID=26169800001,Empowerment Zone (Round I),1626185.9296875,5399.82405027573
766,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,290100,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031290100,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),217190.23828125,1948.70985031495
767,"Rochester, NY","Rochester, NY Renewal Community",Renewal Community,001400,055,36,NY,No,,Mr.,Fashun, ,Ku, , ,Commissioner,Economic Development Dept.,30 Church Street,Room 005A,Rochester,NY,14614-1290,585-428-6808,585-428-6042,fashun@cityofrochester.gov,36055001400,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=Rochester_RC&info1=Urban+Renewal+Community&ID=09072600001,None,761044.93359375,4281.93150286657
768,"Detroit, MI","Detroit, MI Empowerment Zone",Empowerment Zone,514200,163,26,MI,No,,Mr.,Larry, ,Givens, , ,Executive Director, ,One Ford Place,Suite 1F,Detroit,MI,48202,313-872-8050 ext.17,313-872-8002,lgivens@detez.com,26163514200,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit&info1=Round+I+EZ&ID=26169800001,Empowerment Zone (Round I),2535755.67578125,7993.30713027918
769,"Detroit, MI","Detroit, MI Empowerment Zone",Empowerment Zone,514500,163,26,MI,No,,Mr.,Larry, ,Givens, , ,Executive Director, ,One Ford Place,Suite 1F,Detroit,MI,48202,313-872-8050 ext.17,313-872-8002,lgivens@detez.com,26163514500,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit&info1=Round+I+EZ&ID=26169800001,Empowerment Zone (Round I),1038102.3046875,4383.16030218181
770,"Detroit, MI","Detroit, MI Renewal Community",Renewal Community,515100,163,26,MI,No,,Ms.,Burney, ,Johnson, , ,Director of Planning Activities,Planning and Development Department,"65 Cadillac Square, Suite 2300", ,Detroit,MI,48226,313-224-6380,313-224-1310,burneyjohnson@pdd.ci.detroit.mi.us,26163515100,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit_RC&info1=Urban+Renewal+Community&ID=09072600001,None,1289690.0390625,4683.48776947428
771,"Lawrence, MA","Lawrence, MA Renewal Community",Renewal Community,250100,009,25,MA,No,,Mr.,Frederick,T.,Carberry, , ,Economic Development Coordinator,Office of Planning and Development,147 Haverhill Street, ,Lawrence,MA,01840,978-794-5891 ext.144,978-683-4894,f_carberry@cityoflawrence.com,25009250100,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MA&community=Lawrence_RC&info1=Urban+Renewal+Community&ID=12902500001,None,1906213.47265625,7186.19085686556
772,"Cumberland County, NJ","Cumberland County, NJ Empowerment Zone",Empowerment Zone,040100,011,34,NJ,No,,Mr.,Jerry, ,Velazquez,III,III,Executive Director, ,50 E. Broad St., ,Bridgeton,NJ,08302,856-459-1700,856-459-4099,jerryv@cezcorp.org,34011040100,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NJ&community=Cumberland+County&info1=Round+II+EZ&ID=34901100001,Empowerment Zone (Round II),1577965.42578125,9310.46880372249
773,"Newark, NJ","Newark, NJ Renewal Community",Renewal Community,005700,013,34,NJ,No,,Ms.,Angela, ,Corbo, , ,Renewal Community Coordinator,Department of Administration,"920 Broad St., Room B-16", ,Newark,NJ,07104,973-733-4331,973-424-4286,corboa@ci.newark.nj.us,34013005700,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NJ&community=Newark_RC&info1=Urban+Renewal+Community&ID=09072600001,None,1490491.81640625,8118.05008446959
774,"Buffalo-Lackawanna, NY","Buffalo-Lackawanna, NY Renewal Community",Renewal Community,001200,029,36,NY,No,,Ms.,Bonnie,Kane,Lockwood, , ,State/Federal Coordinator, ,920 City Hall,65 Niagara Square,Buffalo,NY,14202-3376,716-851-5468,716-854-0172,blockwood@ch.ci.buffalo.ny.us,36029001200,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=Buffalo_RC&info1=Urban+Renewal+Community&ID=12902500001,None,3124773.78125,8038.32096062892
775,Eastern Kentucky,Eastern Kentucky Renewal Community,Renewal Community,990100,237,21,KY,No,,Ms.,Susan,E.,Wilder, , ,State Contact, ,PO Box 637,Old Highway 11/ Action Place,Booneville,KY,41314,606-593-7296,606-593-7781,swilder@owsleycountykentucky.org,21237990100,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=KY&community=Eastern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,346466731.550781,139119.371718003
776,Eastern Kentucky,Eastern Kentucky Renewal Community,Renewal Community,990200,237,21,KY,No,,Ms.,Susan,E.,Wilder, , ,State Contact, ,PO Box 637,Old Highway 11/ Action Place,Booneville,KY,41314,606-593-7296,606-593-7781,swilder@owsleycountykentucky.org,21237990200,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=KY&community=Eastern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,400670245.25,100017.094887457
777,Eastern Kentucky,Eastern Kentucky Renewal Community,Renewal Community,990300,237,21,KY,No,,Ms.,Susan,E.,Wilder, , ,State Contact, ,PO Box 637,Old Highway 11/ Action Place,Booneville,KY,41314,606-593-7296,606-593-7781,swilder@owsleycountykentucky.org,21237990300,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=KY&community=Eastern_RC&info1=Rural+Renewal+Community&ID=09072600001,None,177429884.867188,70627.0928029119
778,"New York, NY","New York, NY Empowerment Zone",Empowerment Zone,021800,061,36,NY,No,,Mr.,Marion, ,Phillips, , ,Chief Administrative Officer, ,633 Third Ave.,32nd Floor,New York,NY,10019,212-803-3239,212-803-3235,mphillips@empire.state.ny.us,36061021800,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=New+York&info1=Round+I+EZ&ID=36000100001,Empowerment Zone (Round I),317237.61328125,2327.03663335025
779,"New York, NY","New York, NY Empowerment Zone",Empowerment Zone,022000,061,36,NY,No,,Mr.,Marion, ,Phillips, , ,Chief Administrative Officer, ,633 Third Ave.,32nd Floor,New York,NY,10019,212-803-3239,212-803-3235,mphillips@empire.state.ny.us,36061022000,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=New+York&info1=Round+I+EZ&ID=36000100001,Empowerment Zone (Round I),306524.40234375,2297.11256418618
780,"Miami/Dade County, FL","Miami/Dade County, FL Empowerment Zone",Empowerment Zone,002402,025,12,FL,No,,Mr.,Bryan,K.,Finnie, , ,President/CEO, ,140 W. Flagler Street,Suite 1000,Miami,FL,33130,305-375-3848,305-372-7629,kfinnie@miamidade.gov,12025002402,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=FL&community=Miami_Dade_County&info1=Round+I+EC&info1=Round+II+EZ&ID=129025000,Empowerment Zone (Round II),1698954.20703125,5534.8778350831
781,"Miami/Dade County, FL","Miami/Dade County, FL Empowerment Zone",Empowerment Zone,003602,025,12,FL,No,,Mr.,Bryan,K.,Finnie, , ,President/CEO, ,140 W. Flagler Street,Suite 1000,Miami,FL,33130,305-375-3848,305-372-7629,kfinnie@miamidade.gov,12025003602,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=FL&community=Miami_Dade_County&info1=Round+I+EC&info1=Round+II+EZ&ID=129025000,Empowerment Zone (Round II),926575.314453125,4163.94077251806
782,Southwest Georgia United,Southwest Georgia United Empowerment Zone,Empowerment Zone,970100,093,13,GA,No,,Mr.,Robert, ,Cooke, , ,Executive Director, ,PO. Box 587, ,Cordele,GA,31010,912-273-9111,912-276-0450,rcooke@sowega.net,13093970100,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Rural,http://www.ezec.gov/Communit/crispdooly.html,Empowerment Zone (Round II),432436765.214844,99745.6942374473
783,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,360100,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031360100,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),222281.3359375,2096.67533475433
784,"Chicago, IL","Chicago, IL Renewal Community",Renewal Community,370200,031,17,IL,No,,Mr.,Wallace,E.,Goode,Jr.,Jr.,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031370200,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago_RC&info1=Urban+Renewal+Community&ID=12902500001,None,854426.08984375,3713.34877150661
785,"Detroit, MI","Detroit, MI Empowerment Zone",Empowerment Zone,520100,163,26,MI,No,,Mr.,Larry, ,Givens, , ,Executive Director, ,One Ford Place,Suite 1F,Detroit,MI,48202,313-872-8050 ext.17,313-872-8002,lgivens@detez.com,26163520100,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MI&community=Detroit&info1=Round+I+EZ&ID=26169800001,Empowerment Zone (Round I),1306935.94921875,4954.06409044158
786,"Ouachita Parish, LA","Ouachita Parish, LA Renewal Community",Renewal Community,010601,073,22,LA,No,,Ms.,Elizabeth,G.,Pierre, , ,Renewal Community Specialist, ,"1900 N. 18th Street, Suite 440", ,Monroe,LA,71201,318-387-0787,318-387-8529,lpierre@oedc.org,22073010601,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Ouachita_Parish_RC&info1=Urban+Renewal+Community&ID=09072600001,None,10759795.0078125,16295.0388250421
787,"Cleveland, OH","Cleveland, OH Empowerment Zone",Empowerment Zone,118200,035,39,OH,No,, ,Dryck, ,Bennett, , ,Assistant Director, ,3634 Euclid Avenue,Suite 200,Cleveland,OH,44115,216-664-4165,216-420-8522,DBennett@city.cleveland.oh.us,39035118200,1990,Enterprise Community (Round I),"Empowerment Zone (Round I) Beginning Jan. 1, 2000; Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round I)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=OH&community=Cleveland&info1=Round+I+EZ&ID=39110400001,Empowerment Zone (Round I),1136993.9375,4408.89007284073
788,"Rochester, NY","Rochester, NY Renewal Community",Renewal Community,005500,055,36,NY,No,,Mr.,Fashun, ,Ku, , ,Commissioner,Economic Development Dept.,30 Church Street,Room 005A,Rochester,NY,14614-1290,585-428-6808,585-428-6042,fashun@cityofrochester.gov,36055005500,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=Rochester_RC&info1=Urban+Renewal+Community&ID=09072600001,None,832129.70703125,4109.38268905257
789,Central Louisiana,Central Louisiana Renewal Community,Renewal Community,010500,079,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22079010500,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Central_RC&info1=Rural+Renewal+Community&ID=12902500001,None,185319658.960938,100335.204753845
790,Central Louisiana,Central Louisiana Renewal Community,Renewal Community,012000,079,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22079012000,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Central_RC&info1=Rural+Renewal+Community&ID=12902500001,None,2454998.359375,7525.90853755652
791,"Philadelphia, PA","Philadelphia, PA Renewal Community",Renewal Community,015400,101,42,PA,No,,Mr.,Andrew, ,Frishkoff, , ,Director of Economic Development for the EZ/RC, ,"1515 Arch Street, 12th Floor", ,Philadelphia,PA,19102,215-683-2025,215-557-8538,andrew.frishkoff@phila.org,42101015400,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=PA&community=Philadelphia_RC&info1=Urban+Renewal+Community&ID=12902500001,None,537785.19921875,3008.68479719867
792,"St. Louis, MO/E. St. Louis, IL","St. Louis, MO/E. St. Louis, IL Empowerment Zone",Empowerment Zone,501000,163,17,IL,No,,Mr.,Michael,Wesley,Jones, , ,Executive Director, ,100 N. Tucker Boulevard,Suite 540,St. Louis,MO,63101,314-241-0002,314-249-4099,mjones@stlouisezone.org,17163501000,1990,Enterprise Community (Round I),"Empowerment Zone (Round II); Enterprise Community (Round I)","Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MO&community=estlouis_stlouis&info1=Round+II+EZ&ID=29462600002,Empowerment Zone (Round II),8671619.0390625,15143.0838952067
793,"Lowell, MA","Lowell, MA Renewal Community",Renewal Community,310400,017,25,MA,No,,Mr.,Colin,M.,McNiece, , ,Director of Economic Development/Renewal Community,Division of Planning and Development,JFK Civic Center,50 Arcand Drive,Lowell,MA,01852,978-446-7239,978-446-7014,cmcniece@ci.lowell.ma.us,25017310400,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MA&community=Lowell_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1302682.3046875,5996.10601207669
794,"Chicago, IL","Chicago, IL Renewal Community",Renewal Community,671000,031,17,IL,No,,Mr.,Wallace,E.,Goode,Jr.,Jr.,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031671000,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago_RC&info1=Urban+Renewal+Community&ID=12902500001,None,572451.65234375,3188.86875545771
795,"New Orleans, LA","New Orleans, LA Renewal Community",Renewal Community,007200,071,22,LA,No,,Mr.,Rodney, ,Littleton, , ,Regional Coordinator, ,1340 Poydras Street,9th Floor,New Orleans,LA,70112,504-636-0343,504-636-0262,rlittleton@mayorofno.com,22071007200,1990,Enterprise Community (Round I),Enterprise Community (Round I),Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=New_Orleans_RC&info1=Urban+Renewal+Community&ID=06334200001,None,1275383.12304688,5820.86703930624
796,"Chicago, IL","Chicago, IL Renewal Community",Renewal Community,370400,031,17,IL,No,,Mr.,Wallace,E.,Goode,Jr.,Jr.,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031370400,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago_RC&info1=Urban+Renewal+Community&ID=12902500001,None,829836.640625,3713.7003259505
797,"Rochester, NY","Rochester, NY Renewal Community",Renewal Community,003200,055,36,NY,No,,Mr.,Fashun, ,Ku, , ,Commissioner,Economic Development Dept.,30 Church Street,Room 005A,Rochester,NY,14614-1290,585-428-6808,585-428-6042,fashun@cityofrochester.gov,36055003200,1990,None,None,Renewal Community,Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=NY&community=Rochester_RC&info1=Urban+Renewal+Community&ID=09072600001,None,1233849.5625,5693.19314282123
798,"Jacksonville, CA","Jacksonville, FL Empowerment Zone",Empowerment Zone,001300,031,12,FL,No,,Ms.,Roslyn, ,Phillips, , ,"Director, Business Development", ,220 East Bay Street,"City Hall Annex, 14th Floor",Jacksonville,FL,32202,904-630-1540,904-630-2919,roslynp@coj.net,12031001300,1990,None,None,Empowerment Zone (Round III),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=FL&community=Jacksonville&info1=Round+III+EZ&ID=12902500001,Empowerment Zone (Round III),3065004.99804688,9047.07449210963
799,"Jacksonville, CA","Jacksonville, FL Empowerment Zone",Empowerment Zone,001400,031,12,FL,No,,Ms.,Roslyn, ,Phillips, , ,"Director, Business Development", ,220 East Bay Street,"City Hall Annex, 14th Floor",Jacksonville,FL,32202,904-630-1540,904-630-2919,roslynp@coj.net,12031001400,1990,None,None,Empowerment Zone (Round III),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=FL&community=Jacksonville&info1=Round+III+EZ&ID=12902500001,Empowerment Zone (Round III),6845131.83984375,13163.9084599816
800,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,380500,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031380500,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),321291.30078125,2726.33522611157
801,"Gary/Hammond/East Chicago, IN","Gary/Hammond/East Chicago, IN Empowerment Zone",Empowerment Zone,010900,089,18,IN,No,,Ms.,Venus, ,Cobb, , ,Executive Director,Empowerment Zone Office,840 Broadway St., ,Gary,IN,46402,219-886-9047,219-886-9051,venuscobb@yahoo.com,18089010900,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IN&community=gary_echicago&info1=Round+II+EZ&ID=18110400001,Empowerment Zone (Round II),1604598.62890625,5266.36563896199
802,Mid-Delta,Mid-Delta Empowerment Zone,Empowerment Zone,950200,011,28,MS,No,,Mr.,Arthur, ,Peyton, , ,Executive Director, ,1400 Highway 82 West,MS Valley State Univ/ L.S. Roger,Itta Bena,MS,38941,662-254-9957,662-254-9941,mdeza@tecinfo.com,28011950200,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Rural,http://www.ezec.gov/ezec/ms/mdeza.html,Empowerment Zone (Round I),420258864.898438,101145.74357851
803,Four Corners,Four Corners Enterprise Community,Enterprise Community,978300,037,49,UT,No,,Mr.,Larry, ,Rogers, , ,Administrator, ,151 East 500 North, ,Blanding,UT,84511,435-678-1468,435-678-1464,lasar98@yahoo.com,49037978300,1990,None,Enterprise Community (Round II),Enterprise Community (Round II),Rural,http://www.ezec.gov/Communit/4corners.html,None,3523813301.55078,366249.327306895
804,West-Central Mississippi,West-Central Mississippi Renewal Community,Renewal Community,001800,151,28,MS,No,,Mr.,Bruce, ,Reynolds, , ,Director of Planning and Management,Central Mississippi Planning and Development District,1170 Lakeland Drive,PO Box 4935,Jackson,MS,39296-4935,601-981-1511,601-981-1515,breynolds@cmpdd.org,28151001800,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MS&community=West_Central_RC&info1=Rural+Renewal+Community&ID=09072600001,None,295137677.671875,97889.2287317847
805,Moloka'i,Moloka'i Enterprise Community,Enterprise Community,031800,009,15,HI,No,,Ms.,Karen,M.,Holt, , ,Executive Director, ,P.O. Box 1046, ,Kaunakakai,HI,96748,808-553-3244,808-553-3370,mcsc@aloha.net,15009031800,1990,None,Enterprise Community (Round II),Enterprise Community (Round II),Rural,http://www.ezec.gov/Communit/molokai.html,None,382038060.863281,130194.265805591
806,"Gary/Hammond/East Chicago, IN","Gary/Hammond/East Chicago, IN Empowerment Zone",Empowerment Zone,010800,089,18,IN,No,,Ms.,Venus, ,Cobb, , ,Executive Director,Empowerment Zone Office,840 Broadway St., ,Gary,IN,46402,219-886-9047,219-886-9051,venuscobb@yahoo.com,18089010800,1990,None,Empowerment Zone (Round II),Empowerment Zone (Round II),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IN&community=gary_echicago&info1=Round+II+EZ&ID=18110400001,Empowerment Zone (Round II),686892.921875,3473.54235960023
807,Aroostook County,Aroostook County Empowerment Zone,Empowerment Zone,950600,003,23,ME,No,,Mr.,Robert,P.,Clarke, , , , ,302 Main Street,PO Box 779,Caribou,ME,04736,207-498-8736,207-493-3108,rclark@nmdc.org,23003950600,1990,None,None,Empowerment Zone (Round III),Rural,http://www.ezec.gov/Communit/aroostook.html,Empowerment Zone (Round III),310796851.03125,88823.7859853381
808,Aroostook County,Aroostook County Empowerment Zone,Empowerment Zone,951600,003,23,ME,No,,Mr.,Robert,P.,Clarke, , , , ,302 Main Street,PO Box 779,Caribou,ME,04736,207-498-8736,207-493-3108,rclark@nmdc.org,23003951600,1990,None,None,Empowerment Zone (Round III),Rural,http://www.ezec.gov/Communit/aroostook.html,Empowerment Zone (Round III),178560514.839844,59833.2321539182
809,"Chicago, IL","Chicago, IL Empowerment Zone",Empowerment Zone,360200,031,17,IL,No,,Mr.,Wallace, ,Goode, , ,Executive Director, ,20 N. Clark St.,Suite 2800,Chicago,IL,60602-5086,312-744-9623,312-744-9696,wgoode@cityofchicago.org,17031360200,1990,Empowerment Zone (Round I),Empowerment Zone (Round I),Empowerment Zone (Round I),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=IL&community=Chicago&info1=Round+I+EZ&ID=17129600001,Empowerment Zone (Round I),422141.95703125,3183.91517734881
810,"Jacksonville, CA","Jacksonville, FL Empowerment Zone",Empowerment Zone,001600,031,12,FL,No,,Ms.,Roslyn, ,Phillips, , ,"Director, Business Development", ,220 East Bay Street,"City Hall Annex, 14th Floor",Jacksonville,FL,32202,904-630-1540,904-630-2919,roslynp@coj.net,12031001600,1990,None,None,Empowerment Zone (Round III),Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=FL&community=Jacksonville&info1=Round+III+EZ&ID=12902500001,Empowerment Zone (Round III),812933.572265625,4379.51671458693
811,"Boston, MA","Boston, MA Empowerment Zone",Empowerment Zone,061000,025,25,MA,No,,Ms.,Christine, ,Araujo, ,Executive Director,"Boston Connects, Inc.", ,2201 Washington St.,Suite 302,Boston,MA,02119,617-541-2670,617-427-0747, ,25025061000,1990,Enhanced Enterprise Community (Round I),"Empowerment Zone (Round II); Enhanced Enterprise Community (Round I)","Enhanced Enterprise Community (Round I) Ending 12-31-04; Empowerment Zone (Round II)",Urban,http://www5.hud.gov/urban/tour/maintemplate.asp?state=MA&community=Boston&info1=Round+II+EZ&ID=25000100001,Empowerment Zone (Round II),323757.17578125,2523.80232431243
812,Central Louisiana,Central Louisiana Renewal Community,Renewal Community,980500,085,22,LA,No,,Ms.,Tana, ,Trichel, , ,President and CEO, ,P.O. Drawer 746, ,Ferriday,LA,71334,318-757-3033,318-757-4212,ttrichel@maconridge.com,22085980500,1990,None,None,Renewal Community,Rural,http://www5.hud.gov/urban/tour/maintemplate.asp?state=LA&community=Central_RC&info1=Rural+Renewal+Community&ID=12902500001,None,93033357.7070313,58160.252686887
